Iteration,Inlet Monitor Point Temperature (°C),Outlet Monitor Point Temperature (°C),TPU Monitor Point Temperature (°C),VRM 1 Monitor Point Temperature (°C),VRM 2 Monitor Point Temperature (°C),VRM 3 Monitor Point Temperature (°C),VRM 4 Monitor Point Temperature (°C),HBM 1 Monitor Point Temperature (°C),HBM 2 Monitor Point Temperature (°C),HBM 3 Monitor Point Temperature (°C),HBM 4 Monitor Point Temperature (°C),HBM 5 Monitor Point Temperature (°C),HBM 6 Monitor Point Temperature (°C),HBM 7 Monitor Point Temperature (°C),HBM 8 Monitor Point Temperature (°C),Inlet Monitor Point Pressure (N/m2),Outlet Monitor Point Pressure (N/m2)
31,35.0,43.78941144958278,120.6095316476458,206.85362779650652,203.57688310712118,203.8637661055196,202.30098149226168,104.31272076012671,103.92808021899839,107.8175746069568,107.70891621740897,105.38979085491872,104.73373524273255,110.31109210383205,110.44514142205712,31505.871188278623,13024.150217720331
32,35.0,43.94890251792677,122.37270955269378,210.1566446756326,206.80354115765533,207.0776918601497,205.46915019445714,105.80635374758675,105.41841655527743,109.38092652487036,109.27389898749688,106.91693785456168,106.25273963044786,111.93324789157508,112.07326146918062,31624.590952263836,12991.433708372948
33,35.0,44.103450821919104,124.07719494562981,213.34935924293165,209.92245616646562,210.18430131328827,208.53153620507186,107.25032838783467,106.8592050360971,110.89228337069494,110.78683202526479,108.3933032392447,107.72123531392819,113.50143771547,113.64721565218251,31739.734457673327,12960.216533331875
34,35.0,44.253143865965434,125.72487682683636,216.4353902714905,212.93716112921695,213.18711315782033,211.49160681596672,108.64623088891621,108.25202816622155,112.353309670992,112.24938168928618,109.82051086486142,109.14083700209265,115.01739215919896,115.16874125467479,31851.343408611163,12930.370281295285
35,35.0,44.398061561680564,127.31757622431451,219.41823058632744,215.8510659684528,216.0895234928865,214.3527084480335,109.9955896349932,109.5984107506517,113.76560950348741,113.66315382789664,111.2001255016027,110.51310062473094,116.48277914361422,116.63951267288222,31959.453451450016,12901.766184879416
36,35.0,44.5382790374559,128.85705102695584,222.301253840798,218.66746421364306,218.8948124878642,217.11807325743476,111.29987967947464,110.89982438359594,115.13073107818136,115.02969836236164,112.53365736937927,111.83952785765062,117.89920858205296,118.06114607848367,32064.096932949044,12874.277687637868
37,35.0,44.673869270309304,130.34500057226902,225.0877209823291,221.38953937379011,221.60615073944484,219.79082543687565,112.56052700400302,112.15769170343603,116.45017108136469,116.35051363288194,113.82256643768214,113.12157041260681,119.26823679607178,119.43520384162049,32165.305482378488,12847.782841492615
38,35.0,44.8049054820877,131.78306993290573,227.7807863540079,224.02037094901095,224.2266052682083,222.3739871582422,113.77891248725768,113.37339035764454,117.72537872660266,117.62705045149963,115.06826643389019,114.36063403601179,120.59137063574444,120.76319865822474,32263.11235966373,12822.166476374694
39,35.0,44.93146325167079,133.17285385583062,230.383503387981,226.56294003694612,226.75914511052642,224.87048411237768,114.95637553705174,114.54825663112605,118.95775946625747,118.86071581547867,116.27212851354713,115.55808216993563,121.87007125817571,122.04659733532746,32357.554521141115,12797.322093459461
40,35.0,45.053622305216145,134.5159003182994,232.8988298568664,229.02013450009676,229.20664647188175,227.28315061202042,116.09421734952865,115.68358870178405,120.14867832744874,120.05287624506092,117.43548455645866,116.71523923923792,123.1057575282074,123.2868241983319,32448.674364911993,12773.153443782301
41,35.0,45.17146795735931,135.81371367561124,235.32963266011433,231.3947536709292,231.57189741842276,229.614734234667,117.19370377008033,116.78064949793091,121.2994628471624,121.20486072031053,118.55963006327417,117.83339353948463,124.29980901610317,124.48526409504485,32536.521128656328,12749.575764902405
42,35.0,45.28509218730817,137.0677573865578,237.67869213314532,233.68951258247932,233.85760209447355,231.86789999302187,118.2560677415754,117.84066914312558,122.41140559218341,122.31796320272397,119.64582663818346,118.91379971127034,125.45356857795944,125.64326498222198,32621.151923794692,12726.51665931606
43,35.0,45.39459434463457,138.27945631328905,239.94870587782495,235.9070457229267,236.06638446445166,234.04523403143256,119.28251133629587,118.86484698483343,123.48576626033338,123.39344473808865,120.69530405416654,119.9576807973742,126.56834451539461,126.76214009118527,32702.63240075298,12703.916609192791
44,35.0,45.50008148997581,139.4501986026618,242.1422921231213,238.04991032289428,238.2007915879365,236.14924685699953,120.2742073783363,119.8543532136583,124.52377336984794,124.43253514742717,121.70926190758927,120.96622988953303,127.64541232141868,127.84316967942267,32781.03705049532,12681.729132424909
45,35.0,45.601668385550745,140.58133716576546,244.26199263435836,240.12058919380348,240.2632964462022,238.18237612362407,121.23230067285944,120.81033008953723,125.52662555336605,125.43643432250072,122.68887087857665,121.94061138125433,128.68601602902143,128.8876023847139,32856.4491571843,12659.920594680369
46,35.0,45.69947715913959,141.6741907810058,246.31027519810803,242.12149314424414,242.25630034716204,240.14698899589166,122.15790886729775,121.7338927999837,126.49549248169518,126.40631315103784,123.63527362228879,122.88196185178523,129.6913691877066,129.8966562070168,32928.96042557383,12638.469700900985
47,35.0,45.79363667278556,142.73004485367647,248.28953571725717,244.05496300881558,244.18213494316691,242.04538412718543,123.05212297715009,122.62612998302515,127.43151545007503,127.34331410441247,124.54958532378419,123.79139061391376,130.66265550075593,130.87151915090422,32998.67031434992,12617.366697303247
48,35.0,45.884281633799084,143.75015187121676,250.20209995699943,245.92327133011247,246.0430639023188,243.87979329264496,123.91600761529956,123.48810395375737,128.33580766593545,128.24855152676906,125.4328939554298,124.66997996455353,131.60102916227802,131.81334956761228,33065.68511295936,12596.612321269
49,35.0,45.97155149058017,144.73573159823255,252.05022498732987,247.72862373935894,247.84128427878954,245.6523827224158,124.75060096866746,124.3208506783279,129.2094542820322,129.12311166947936,126.28626028070596,125.51878518195207,132.50761493798296,132.72327624064675,33130.11680440194,12576.216541454265
50,35.0,46.05558915926031,145.68797105879287,253.83610037100422,249.4731600845801,249.5789276310238,247.36525418402547,125.55691456946141,125.12537954260281,130.05351222228342,129.9680525182559,127.11071765169515,126.33883431680415,133.3835080370613,133.60239826233195,33192.08175994918,12556.19713393643
51,35.0,46.136539629185634,146.60802435548214,255.56184914784467,251.1589553571244,251.25806093862596,249.02044586464442,126.33593291025323,125.90267296474998,130.86900984960647,130.78440346222294,127.90727164952129,127.13112782652917,134.22977382451967,134.4517847506598,33251.69931377436,12536.578142246815
52,35.0,46.214548495844184,147.49701237522274,257.2295286667605,252.78802046783747,252.88068736922222,250.61993310448244,127.0886129526631,126.65368590151203,131.65694652559273,131.5731648547841,128.67689961754508,127.89663810251118,135.04744742386325,135.2724744563344,33309.09026606075,12517.388269722314
53,35.0,46.28976046904476,148.3560224310374,258.84113131596285,254.36230292330177,254.44874694570015,252.1656290316845,127.81588357859128,127.37934529710797,132.41829211102095,132.33530751528832,129.42055013628556,128.63630893926495,135.8375332591755,136.06547530906755,33364.375362360755,12498.65925182015
54,35.0,46.362317902081706,149.1861078868043,260.3985851996913,255.88368745039696,255.96411716207066,253.65938514693286,128.51864503082837,128.0805495215911,133.15398645409712,133.07177221838413,130.139142486926,129.3510549923788,136.60100458353085,136.83176395006612,33417.673794906994,12480.424253972322
55,35.0,46.432359384397756,149.98828780879015,261.9037548064596,257.3539966141281,257.4286135928896,255.10299190265647,129.19776838661494,128.75816784223207,133.86493891004804,133.78346921468977,130.83356614700207,130.0417612688267,137.33880303741483,137.57228529439024,33469.10176835501,12462.71633733908
56,35.0,46.50001843603805,150.76354668348435,263.3584417095265,258.774991469369,258.8439905368759,256.4981793174497,129.8540951034682,129.41303996724173,134.55202793143815,134.4712778221509,131.50468035761517,130.7092826889851,138.05183827656637,138.28795216260153,33518.77116821937,12445.567030607132
57,35.0,46.56542233714553,151.51283423617514,264.7643853351744,260.1483722820455,260.21194173024236,257.84661766118205,130.4884366715149,130.04597569607088,135.21610076350208,135.13604612237899,132.15331379643507,131.354443754614,138.7409877035775,138.97964501604156,33566.788365223205,12429.005040940252
58,35.0,46.628691120066414,152.2370653789853,266.1232638286157,261.47577934952676,261.53410115949714,259.14991824052515,131.10157440085587,130.65775470480978,135.85797327306747,135.77859079054613,132.7802643850418,131.9780383513449,139.40709633186853,139.64821182436182,33613.25318310055,12413.055131513067
59,35.0,46.689936745506735,152.93712031091948,267.4366950411488,262.7587939437893,262.8120439972731,260.40963430842066,131.69425936632754,131.2491264890502,136.4784299334818,136.3996970812515,133.38629925299466,132.58082970805887,140.0509768044918,140.2944680877638,33658.25805126447,12397.737186936045
60,35.0,46.74926247780275,153.61384478605993,268.70623765572896,263.9989393944727,264.04728767829374,261.62726211456913,132.26721252561623,131.82081048016457,137.07822398154585,137.00011898636293,133.97215487460696,133.16355052912746,140.67340958380694,140.91919702999508,33701.88735737607,12383.06548150555
